_, 1, _, 1, _, 2, _, 2, _, 2, _, 2, _, 2, _, 2, _, 1, _, 1
1, _, 2, _, 2, _, 3, _, 3, _, 3, _, 3, _, 3, _, 2, _, 2, _
_, 2, _, 3, _, 3, _, 4, _, 4, _, 4, _, 4, _, 3, _, 3, _, 2
1, _, 3, _, 4, _, 4, _, 5, _, 5, _, 5, _, 4, _, 4, _, 3, _
_, 2, _, 4, _, 5, _, 5, _, 6, _, 6, _, 5, _, 5, _, 4, _, 2
2, _, 3, _, 5, _, 6, _, 6, _, 6, _, 6, _, 6, _, 5, _, 3, _
_, 3, _, 4, _, 6, _, 7, _, 7, _, 7, _, 7, _, 6, _, 4, _, 3
2, _, 4, _, 5, _, 7, _, 8, _, 8, _, 8, _, 7, _, 5, _, 4, _
_, 3, _, 5, _, 6, _, 8, _, 8, _, 8, _, 8, _, 6, _, 5, _, 3
2, _, 4, _, 6, _, 7, _, 8, _, 8, _, 8, _, 7, _, 6, _, 4, _
_, 3, _, 5, _, 6, _, 8, _, 8, _, 8, _, 8, _, 6, _, 5, _, 3
2, _, 4, _, 5, _, 7, _, 8, _, 8, _, 8, _, 7, _, 5, _, 4, _
_, 3, _, 4, _, 6, _, 7, _, 7, _, 7, _, 7, _, 6, _, 4, _, 3
2, _, 3, _, 5, _, 6, _, 6, _, 6, _, 6, _, 6, _, 5, _, 3, _
_, 2, _, 4, _, 5, _, 5, _, 6, _, 6, _, 5, _, 5, _, 4, _, 2
1, _, 3, _, 4, _, 4, _, 5, _, 5, _, 5, _, 4, _, 4, _, 3, _
_, 2, _, 3, _, 3, _, 4, _, 4, _, 4, _, 4, _, 3, _, 3, _, 2
1, _, 2, _, 2, _, 3, _, 3, _, 3, _, 3, _, 3, _, 2, _, 2, _
_, 1, _, 1, _, 2, _, 2, _, 2, _, 2, _, 2, _, 2, _, 1, _, 1
1, _, 1, _, 1, _, 1, _, 2, _, 2, _, 2, _, 1, _, 1, _, 1, _
